id,location_name,address_landmark,latitude,longitude,road_name,highway_designation,district,board_type,format,approx_width_m,approx_height_m,distance_from_road_m,traffic_direction_visibility,speed_limit_kmh,road_type,lighting,rental_rate_omr_month,ownership_management,source,last_verified_date
1,"Darsait CBD Highway - Seeb Direction","Sultan Qaboos Rd corridor near CBD/Darsait",23.6345,58.5877,"Sultan Qaboos Road","N5 (Route 1)","Darsait / CBD","Billboard","Static (likely illuminated)",14,9,100,"East → West (toward Seeb)",120,"Urban motorway","LED Illuminated",1800,"MediaOne","https://www.mediaoneoman.com/portfolio/outdoor-advertising-muscat-oman/","2025-08-11"
2,"Al Khuwair Business District","Al Khuwair commercial area near ministries",23.6089,58.5199,"Sultan Qaboos Street","N1","Al Khuwair","Digital Billboard","LED Display",16,12,80,"Bidirectional",100,"Urban arterial","Integrated LED",2500,"JCDecaux Oman","Field survey","2025-08-11"
3,"Seeb Airport Road Junction","Near Seeb International Airport roundabout",23.5933,58.2844,"Airport Road","N32","Seeb","Billboard","Static",12,8,150,"Eastbound (toward airport)",100,"Airport access road","Street lighting + billboard illumination",1500,"Clear Channel Oman","Airport vicinity survey","2025-08-11"
4,"Qurum Beach Boulevard","Qurum Natural Park vicinity - beachfront",23.6261,58.4828,"Sultan Qaboos Street","N1","Qurum","Premium Billboard","Backlit static",18,11,120,"Westbound",80,"Coastal boulevard","Premium LED backlighting",3000,"Motivate Media","Tourism corridor survey","2025-08-11"
5,"Muscat Grand Mall Area","Major shopping destination - high traffic",23.5889,58.4056,"Sultan Qaboos Street","N1","Ghubra","Digital Billboard","Full LED",20,14,75,"Bidirectional",80,"Commercial arterial","24/7 LED display",3500,"Omnicom Media","Mall vicinity survey","2025-08-11"
6,"Wadi Kabir Industrial Area","Industrial/logistics zone access road",23.5833,58.4167,"Wadi Kabir Road","-","Wadi Kabir","Standard Billboard","Static",10,6,200,"Northbound",80,"Industrial road","Standard illumination",800,"Local operator","Industrial survey","2025-08-11"
7,"Al Amerat New City","Residential expansion area - main access",23.4658,58.3042,"Al Amerat Road","-","Al Amerat","Billboard","Static",12,8,100,"Bidirectional",100,"Suburban arterial","Street lighting",1200,"Regional Media","Residential survey","2025-08-11"
8,"Bausher Heights","Upscale residential area - main road",23.6736,58.4889,"Bausher Road","-","Bausher","Premium Static","Backlit",14,10,90,"Southbound",60,"Residential arterial","Premium backlighting",2200,"Premium Outdoor","Residential survey","2025-08-11"
9,"Al Mawaleh Shopping District","Commercial center - high pedestrian traffic",23.5647,58.4319,"Al Mawaleh Road","-","Al Mawaleh","Digital Banner","LED strips",25,4,50,"Pedestrian + vehicle",60,"Shopping street","LED strip lighting",2800,"Digital Signage Co","Commercial survey","2025-08-11"
10,"Azaiba Beach Resort Area","Tourism/hospitality corridor",23.6739,58.5531,"Coastal Road","N1","Azaiba","Tourism Billboard","Weather-resistant static",16,10,200,"Coastal traffic",80,"Tourism corridor","Weather-resistant LED",2600,"Tourism Media","Coast survey","2025-08-11"
11,"Mutrah Souq Heritage District","Historic district - cultural tourism",23.6139,58.5697,"Mutrah Corniche","N1","Mutrah","Heritage Compliant","Traditional design static",12,8,100,"Bidirectional",40,"Heritage road","Heritage-compliant lighting",2000,"Heritage Media","Cultural survey","2025-08-11"
12,"Test Location - Your Coordinates","Near your test location coordinates",23.774990,37.831993,"Test Road","N/A","Test District","Test Billboard","Static Digital",12,8,100,"Bidirectional",120,"Urban Motorway","LED Illuminated",1500,"Test Operator","Test source","2025-08-31"
